編號,案類,發生(現)日期,發生時段,發生(現)地點,location
74,汽車竊盜,1040807,07~09,台北市大同區朝陽里南京西路301~330號,"25.0538379,121.51289300000008"
75,汽車竊盜,1040809,01~03,台北市文山區萬芳里萬美街一段31~60號,"25.0019729,121.56915100000003"
76,汽車竊盜,1040814,04~06,台北市北投區一德里中央北路四段31~60號,"25.132293,121.47359200000005"
77,汽車竊盜,1040824,07~09,台北市士林區福佳里中正路361~390號,"25.0941549,121.52097140000001"
78,汽車竊盜,1040827,01~03,台北市士林區福順里重慶北路四段121~150號,"25.083663,121.51237100000003"
79,汽車竊盜,1040827,07~09,台北市南港區玉成里松河街301~330號,"25.052361,121.58100190000005"
80,汽車竊盜,1040831,22~24,台北市中山區中山北路二段42巷內,"25.054591,121.5222645"
81,汽車失竊,1040901,01~03,台北市北投區豐年里大業路601~630號,"25.1366259,121.49817299999995"
82,汽車失竊,1040901,10~12,台北市北投區大同里北投路二段與中央南路口,"25.132244,121.50131899999997"
83,汽車失竊,1040921,07~09,台北市中正區南福里南昌路二段31~60號,"25.0280335,121.51989189999995"
84,汽車失竊,1040923,19~21,台北市萬華區艋舺大道長順街口,"25.0300495,121.49264570000003"
85,汽車失竊,1040925,10~12,台北市萬華區康定路287巷,"25.0340801,121.50148769999998"
86,汽車失竊,1040927,10~12,台北市萬華區雙園河濱公園,"25.034607,121.48861599999998"
87,汽車失竊,1041004,01~03,台北市文山區萬和里溪洲街31~60號,"25.0060374,121.53479800000002"
88,汽車失竊,1041005,10~12,台北市信義區雅祥松信路31~60號,"25.0482654,121.57220030000008"
89,汽車失竊,1041009,22~24,台北市信義區雅祥里松信路31~60號前,"25.0482654,121.57220030000008"
