編號,案類,發生(現)日期,發生時段,發生(現)地點,location
90,自行車竊盜,1040327,13~15,台北市中正區建國里博愛路121-150號,"25.0391867,121.51119590000008"
91,自行車竊盜,1040328,19~21,台北市中山區大直捷運站1號出口旁,"25.079476,121.54689400000007"
92,自行車竊盜,1040329,10~12,台北市中正區水源里羅斯福路四段52巷16弄口,"25.0142965,121.53392659999997"
93,自行車竊盜,1040329,13~15,台北市中正區文盛里汀州路三段151-180號,"25.015872,121.53135999999995"
94,自行車竊盜,1040329,16~18,台北市南港區東新里興南街64巷4弄1-30號,"25.0559083,121.60173729999997"
95,自行車竊盜,1040331,10~12,台北市萬華區艋舺大道181-210號,"25.0277865,121.49038859999996"
96,自行車竊盜,1040402,07~09,台北市大安區古莊里浦城街6巷1-30號,"25.0240919,121.5267202"
97,自行車竊盜,1040405,16~18,台北市中山區敬業三路121-150號,"25.0817744,121.55580250000003"
98,自行車竊盜,1040405,22~24,台北市內湖區湖元里舊宗路二段內湖運動公園,"25.067763,121.57384100000002"
99,自行車竊盜,1040405,22~24,台北市大同區南芳里延平北路二段241-270號,"25.0620649,121.511392"
100,自行車竊盜,1040407,07~09,台北市大安區龍泉里師大路1-30號,"25.026164,121.52856580000002"
101,自行車竊盜,1040408,22~24,台北市大安區敦安里8鄰安和路一段78巷1-30號,"25.1149781,121.51456350000001"
102,自行車竊盜,1040409,19~21,台北市北投區榮光里石牌路一段181-210號,"25.0350979,121.55221219999999"
103,自行車竊盜,1040410,04~06,台北市文山區萬祥里興隆路一段102巷1-30號,"25.0026795,121.54107090000002"
104,自行車竊盜,1040410,07~09,台北市大同區鄰江里酒泉街228巷,"25.0719687,121.5099659"
105,自行車竊盜,1040412,01~03,台北市大安區昌隆里忠孝東路三段217巷5弄1-30號,"25.0421106,121.53827780000006"
106,自行車竊盜,1040412,10~12,台北市文山區興邦里興隆路二段241-270號,"25.0018526,121.5514028"
107,自行車竊盜,1040414,10~12,台北市北投區福興里自強街5巷31-60號,"25.111842,121.51225699999998"
108,自行車竊盜,1040415,07~09,台北市大同區建泰里南京西路91-120號,"25.0532054,121.51771980000001"
109,自行車竊盜,1040415,07~09,台北市萬華區東園街28巷1-30號,"25.026999,121.49554999999998"
110,自行車竊盜,1040415,10~12,台北市大安區福住里永康街31-60號,"25.0310459,121.529585"
111,自行車竊盜,1040415,13~15,台北市中山區農安街227巷31-60號,"25.0650101,121.52489679999996"
112,自行車竊盜,1040417,10~12,台北市士林區福德里福德路1-30號,"25.0917765,121.52414279999994"
113,自行車竊盜,1040420,01~03,台北市文山區興業里興隆路二段220巷31-60號,"24.9994825,121.55230879999999"
114,自行車竊盜,1040421,10~12,台北市大安區基隆路三段156巷,"25.0169001,121.54169449999995"
115,自行車竊盜,1040421,16~18,台北市文山區景東里景華街104巷口,"24.9948568,121.54634869999995"
116,自行車竊盜,1040426,04~06,台北市大同區雙連里重慶北路歸綏街,"25.0582066,121.5137168"
117,自行車竊盜,1040427,13~15,台北市大安區龍門里建國南路二段241-270號,"25.024681,121.53789899999992"
118,自行車竊盜,1040427,13~15,台北市南港區聯成里忠孝東路六段301-330號,"25.0494916,121.59090300000003"
119,自行車竊盜,1040428,10~12,台北市信義區永吉路331-360號,"25.045661,121.57577579999997"
120,自行車竊盜,1040501,01~03,台北市大安區德安里四維路76巷,"25.0342725,121.54719420000004"
121,自行車竊盜,1040501,16~18,台北市大安區福住里新生南路二段31-60號,"25.028465,121.534133"
122,自行車竊盜,1040501,22~24,台北市信義區六合里信義路五段150巷271-300號,"25.0240727,121.57147020000002"
123,自行車竊盜,1040503,13~15,台北市松山區撫遠街391-420號,"25.0649522,121.56571830000007"
124,自行車竊盜,1040503,19~21,台北市中正區黎明里市民大道,"25.0487351,121.51619270000003"
125,自行車竊盜,1040507,19~21,台北市文山區樟文里忠順街一段1-30號,"24.9832325,121.55845620000002"
126,自行車竊盜,1040507,22~24,台北市文山區樟樹里木新路三段151-180號,"24.9816598,121.56054259999996"
127,自行車竊盜,1040509,13~15,台北市士林區蘭雅里德行東路109巷61-90號,"25.1104443,121.52880779999998"
128,自行車竊盜,1040509,19~21,台北市中正區臺大醫院捷運站,"25.041256,121.51603999999998"
129,自行車竊盜,1040510,10~12,台北市士林區義信里中山北路五段61-90號,"25.0841405,121.52576139999996"
130,自行車竊盜,1040510,13~15,台北市信義區松友里信義路六段72巷2弄31-60號,"25.0347799,121.57650699999999"
131,自行車竊盜,1040510,22~24,台北市萬華區青年路106巷1-30號,"25.0226568,121.50221320000003"
132,自行車竊盜,1040511,04~06,台北市文山區興邦里興隆路二段181-210號,"25.0006761,121.54924890000007"
133,自行車竊盜,1040513,10~12,台北市萬華區貴陽街151-180號,"25.0402787,121.50093760000004"
134,自行車竊盜,1040516,22~24,台北市大安區龍門里新生南路二段1-30號,"25.0310609,121.53555200000005"
135,自行車竊盜,1040517,16~18,台北市中正區文祥里金山南路一段101巷1-30號,"25.0353459,121.52601830000003"
136,自行車竊盜,1040517,16~18,台北市大同區大龍街1-30號,"25.0632657,121.51604969999994"
137,自行車竊盜,1040518,16~18,台北市信義區安康里松德路興雅國中校門口,"25.0361376,121.57466169999998"
138,自行車竊盜,1040519,19~21,台北市士林區義信里中山北路五段61-90號,"25.0841405,121.52576139999996"
139,自行車竊盜,1040520,07~09,台北市大安區龍圖里信義路三段181-210號,"25.033308,121.54242820000002"
140,自行車竊盜,1040521,13~15,台北市中正區中正紀念堂,"25.0356791,121.51967420000005"
141,自行車竊盜,1040526,07~09,台北市中山區撫順公園,"25.064559,121.52203899999995"
142,自行車竊盜,1040527,16~18,台北市內湖區港墘里內湖路一段629巷31-60號,"25.0851795,121.55872620000002"
143,自行車竊盜,1040528,13~15,台北市士林區中山北路五段61-90號,"25.0836293,121.52560970000002"
144,自行車竊盜,1040529,01~03,台北市中正區黎明里武昌街一段1-30號,"25.044166,121.51357200000007"
145,自行車竊盜,1040529,04~06,台北市文山區萬興里指南路二段1-30號,"24.9877767,121.57469000000003"
146,自行車竊盜,1040529,07~09,台北市文山區木柵里木柵路三段85巷14弄1-30號,"24.988599,121.56452999999999"
147,自行車竊盜,1040530,10~12,台北市松山區民生東路五段36巷6弄1-30號,"25.0585411,121.55567719999999"
148,自行車竊盜,1040530,16~18,台北市北投區吉利里致遠二路61-90號,"25.1167925,121.5123539"
149,自行車竊盜,1040601,01~03,台北市大同區建泰里南京西路18巷1-30號,"25.0525979,121.51987229999997"
150,自行車竊盜,1040601,04~06,台北市大安區芳和里樂業街94巷1-30號,"25.0213811,121.55133139999998"
151,自行車竊盜,1040602,13~15,台北市北投區泉源里東昇路91-120號,"25.1581079,121.53161499999999"
152,自行車竊盜,1040603,10~12,台北市大安區學府里16鄰羅斯福路四段1-30號,"25.0169587,121.53385070000002"
153,自行車竊盜,1040604,07~09,台北市北投區立農里立農街一段279巷2弄1-30號,"25.1197303,121.50613120000003"
154,自行車竊盜,1040604,13~15,台北市信義區廣居里忠孝東路五段451-480號,"25.040586,121.57761700000003"
155,自行車竊盜,1040604,22~24,台北市中正區幸福里忠孝東路一段84巷,"25.0439604,121.52408730000002"
